date,ncumul_conf
01/12/2020,5322.0
01/12/2020,3778.0
02/12/2020,18600.0
02/12/2020,16222.0
03/12/2020,1047.0
03/12/2020,963.0
04/12/2020,5406.0
04/12/2020,2078.0
06/12/2020,nan
06/12/2020,5757.0
07/12/2020,23433.0
07/12/2020,1404.0
08/12/2020,7353.0
08/12/2020,20119.0
09/12/2020,2257.0
09/12/2020,8493.0
11/12/2020,8608.0
11/12/2020,21815.0
12/12/2020,13063.0
12/12/2020,10633.0
13/12/2020,1566.0
13/12/2020,38064.0
14/12/2020,9306.0
14/12/2020,1998.0
16/12/2020,9293.0
16/12/2020,1600.0
17/12/2020,14156.0
17/12/2020,10907.0
18/12/2020,53779.0
18/12/2020,24538.0
19/12/2020,1241.0
19/12/2020,24755.0
21/12/2020,22649.0
21/12/2020,1396.0
22/12/2020,11165.0
22/12/2020,1300.0
23/12/2020,24926.0
23/12/2020,1858.0
24/12/2020,26746.0
24/12/2020,40573.0
25/12/2020,7735.0
25/12/2020,65387.0
27/12/2020,16029.0
27/12/2020,11388.0
28/12/2020,1331.0
28/12/2020,10288.0
29/12/2020,7480.0
29/12/2020,2960.0
31/12/2020,23449.0
31/12/2020,1588.0
01/01/2021,11729.0
01/01/2021,1466.0
02/01/2021,29219.0
02/01/2021,43599.0
04/01/2021,1635.0
04/01/2021,8438.0
05/01/2021,28938.0
05/01/2021,24370.0
06/01/2021,41212.0
06/01/2021,1455.0
07/01/2021,5260.0
07/01/2021,8138.0
08/01/2021,748.0
08/01/2021,74459.0
10/01/2021,1604.0
10/01/2021,29746.0
11/01/2021,31400.0
11/01/2021,46457.0
12/01/2021,13255.0
12/01/2021,8785.0
14/01/2021,12056.0
14/01/2021,24620.0
15/01/2021,19347.0
15/01/2021,12589.0
16/01/2021,60700.0
16/01/2021,27846.0
17/01/2021,784.0
17/01/2021,77955.0
19/01/2021,9399.0
19/01/2021,5054.0
20/01/2021,31330.0
20/01/2021,26269.0
21/01/2021,1658.0
21/01/2021,1648.0
22/01/2021,5789.0
22/01/2021,8828.0
24/01/2021,nan
24/01/2021,9616.0
25/01/2021,2455.0
25/01/2021,43467.0
26/01/2021,33992.0
26/01/2021,49353.0
27/01/2021,14059.0
27/01/2021,9239.0
29/01/2021,12746.0
29/01/2021,25729.0
30/01/2021,13125.0
30/01/2021,1853.0
31/01/2021,50025.0
31/01/2021,6014.0
01/02/2021,82484.0
02/02/2021,nan
03/02/2021,10095.0
03/02/2021,5362.0
04/02/2021,32930.0
04/02/2021,26963.0
05/02/2021,44883.0
05/02/2021,1765.0
06/02/2021,14425.0
06/02/2021,9491.0
08/02/2021,13375.0
08/02/2021,1911.0
09/02/2021,30260.0
09/02/2021,2532.0
10/02/2021,13032.0
10/02/2021,35554.0
11/02/2021,9308.0
11/02/2021,14567.0
13/02/2021,13314.0
13/02/2021,26704.0
14/02/2021,27408.0
14/02/2021,65867.0
15/02/2021,6349.0
15/02/2021,9382.0
16/02/2021,858.0
16/02/2021,85587.0
18/02/2021,2169.0
18/02/2021,10483.0
19/02/2021,1968.0
19/02/2021,33795.0
20/02/2021,2546.0
20/02/2021,46335.0
22/02/2021,13565.0
22/02/2021,27032.0
23/02/2021,21621.0
23/02/2021,14046.0
24/02/2021,67505.0
24/02/2021,31125.0
25/02/2021,1789.0
25/02/2021,13494.0
26/02/2021,9526.0
26/02/2021,3618.0
28/02/2021,21775.0
28/02/2021,14213.0
01/03/2021,1806.0
01/03/2021,13625.0
02/03/2021,3628.0
02/03/2021,9589.0
03/03/2021,87786.0
04/03/2021,nan
05/03/2021,10797.0
05/03/2021,5703.0
06/03/2021,3659.0
06/03/2021,28298.0
07/03/2021,15293.0
07/03/2021,9967.0
09/03/2021,27801.0
09/03/2021,2232.0
10/03/2021,14505.0
10/03/2021,2043.0
11/03/2021,32052.0
11/03/2021,2601.0
12/03/2021,14042.0
12/03/2021,37774.0
14/03/2021,14254.0
14/03/2021,28045.0
15/03/2021,28876.0
15/03/2021,70434.0
16/03/2021,1953.0
16/03/2021,1885.0
17/03/2021,6810.0
17/03/2021,3742.0
18/03/2021,1909.0
19/03/2021,nan
20/03/2021,22969.0
20/03/2021,14805.0
21/03/2021,38907.0
21/03/2021,54861.0
22/03/2021,91974.0
23/03/2021,nan
24/03/2021,11297.0
24/03/2021,5871.0
25/03/2021,35962.0
25/03/2021,29699.0
26/03/2021,50157.0
26/03/2021,2005.0
27/03/2021,16133.0
27/03/2021,10521.0
29/03/2021,15111.0
29/03/2021,2171.0
30/03/2021,33484.0
30/03/2021,2670.0
31/03/2021,14929.0
31/03/2021,40403.0
01/04/2021,16339.0
01/04/2021,2110.0
03/04/2021,24009.0
03/04/2021,15279.0
04/04/2021,40875.0
04/04/2021,56963.0
06/04/2021,29301.0
06/04/2021,2322.0
07/04/2021,15399.0
07/04/2021,2245.0
08/04/2021,52001.0
08/04/2021,2093.0
09/04/2021,7464.0
09/04/2021,10319.0
11/04/2021,nan
11/04/2021,12043.0
12/04/2021,34662.0
12/04/2021,2768.0
13/04/2021,58665.0
13/04/2021,7555.0
14/04/2021,11146.0
14/04/2021,946.0
16/04/2021,16075.0
16/04/2021,29912.0
17/04/2021,15861.0
17/04/2021,2339.0
18/04/2021,59436.0
18/04/2021,7700.0
19/04/2021,102462.0
20/04/2021,nan
21/04/2021,12467.0
21/04/2021,6264.0
22/04/2021,38844.0
22/04/2021,31703.0
23/04/2021,54404.0
23/04/2021,2214.0
24/04/2021,17430.0
24/04/2021,11705.0
26/04/2021,16253.0
26/04/2021,2419.0
27/04/2021,36156.0
27/04/2021,2908.0
28/04/2021,44723.0
28/04/2021,61311.0
29/04/2021,17674.0
29/04/2021,11935.0
01/05/2021,30871.0
01/05/2021,nan
02/05/2021,80281.0
02/05/2021,36492.0
03/05/2021,4374.0
03/05/2021,11218.0
04/05/2021,107530.0
05/05/2021,nan
06/05/2021,13006.0
06/05/2021,6507.0
07/05/2021,40347.0
07/05/2021,17074.0
08/05/2021,56402.0
08/05/2021,45881.0
10/05/2021,31299.0
10/05/2021,2654.0
11/05/2021,16888.0
11/05/2021,2555.0
12/05/2021,81801.0
12/05/2021,37153.0
13/05/2021,8183.0
13/05/2021,11515.0
15/05/2021,nan
15/05/2021,13169.0
16/05/2021,37275.0
16/05/2021,2990.0
17/05/2021,11580.0
17/05/2021,18399.0
19/05/2021,17861.0
19/05/2021,31758.0
20/05/2021,28038.0
20/05/2021,17172.0
21/05/2021,82803.0
21/05/2021,37498.0
22/05/2021,11738.0
22/05/2021,18564.0
24/05/2021,2644.0
24/05/2021,41624.0
25/05/2021,3209.0
25/05/2021,47203.0
26/05/2021,11818.0
26/05/2021,18642.0
28/05/2021,18031.0
28/05/2021,32101.0
29/05/2021,17309.0
29/05/2021,2684.0
30/05/2021,65003.0
30/05/2021,8347.0
31/05/2021,111449.0
01/06/2021,nan
02/06/2021,2768.0
02/06/2021,13431.0
03/06/2021,2698.0
03/06/2021,42356.0
04/06/2021,47539.0
04/06/2021,8371.0
06/06/2021,32336.0
06/06/2021,nan
07/06/2021,33132.0
07/06/2021,83986.0
08/06/2021,2551.0
08/06/2021,3250.0
09/06/2021,12123.0
09/06/2021,18874.0
11/06/2021,nan
11/06/2021,65497.0
12/06/2021,7095.0
12/06/2021,28824.0
13/06/2021,58317.0
13/06/2021,47721.0
14/06/2021,112316.0
15/06/2021,nan
16/06/2021,13563.0
16/06/2021,7106.0
17/06/2021,42735.0
17/06/2021,17908.0
18/06/2021,58396.0
18/06/2021,2591.0
20/06/2021,65599.0
20/06/2021,18201.0
21/06/2021,33220.0
21/06/2021,84266.0
22/06/2021,3262.0
22/06/2021,47811.0
23/06/2021,12950.0
23/06/2021,1236.0
25/06/2021,32578.0
