Timestamp,OutboundUtilzation (%)
10/27/2017 5:07,44.5004
10/27/2017 7:42,54.7832
10/27/2017 7:47,61.4124
10/27/2017 10:22,37.1744
10/27/2017 10:27,48.5308
10/27/2017 13:02,74.1785
10/27/2017 13:07,91.3547
10/27/2017 15:42,78.4203
10/27/2017 15:47,61.8904
10/27/2017 18:22,63.5221
10/27/2017 18:27,57.7971
10/27/2017 21:02,24.7597
10/27/2017 21:07,30.4074
10/27/2017 23:42,54.7265
10/27/2017 23:47,51.6491
10/28/2017 2:22,74.3308
10/28/2017 2:27,81.7407
10/28/2017 5:02,80.3721
10/28/2017 5:07,72.2567
10/28/2017 7:42,53.0301
10/28/2017 7:47,55.1026
10/28/2017 10:22,63.5865
10/28/2017 10:27,64.6458
10/28/2017 13:02,58.0539
10/28/2017 13:07,69.9805
10/28/2017 15:42,22.3599
10/28/2017 15:47,22.5809
10/28/2017 18:22,44.8143
10/28/2017 18:27,42.1341
10/28/2017 21:02,22.0345
10/28/2017 21:07,28.4396
10/28/2017 23:42,70.3143
10/28/2017 23:47,74.9881
10/29/2017 1:37,60.2995
10/29/2017 1:42,52.8441
10/29/2017 4:17,54.6066
10/29/2017 4:22,51.497
10/29/2017 6:57,54.4614
10/29/2017 7:02,68.1286
10/29/2017 9:37,47.8915
10/29/2017 9:42,44.3802
10/29/2017 12:17,83.4148
10/29/2017 12:22,81.5736
10/29/2017 14:57,79.4199
10/29/2017 15:02,76.1614
10/29/2017 17:37,66.7625
10/29/2017 17:42,66.559
10/29/2017 20:17,59.3426
10/29/2017 20:22,57.9252
10/29/2017 22:57,91.3547
10/29/2017 23:02,88.4177
10/30/2017 1:47,79.6475
10/30/2017 1:52,78.8856
10/30/2017 4:37,87.4784
10/30/2017 4:42,85.9665
10/30/2017 7:17,99.6768
10/30/2017 7:22,99.1943
10/30/2017 9:57,79.6492
10/30/2017 10:02,85.1941
10/30/2017 12:37,60.3764
10/30/2017 12:42,71.7684
10/30/2017 15:17,47.0315
10/30/2017 15:22,36.5495
10/30/2017 17:57,46.3612
10/30/2017 18:02,57.0793
10/30/2017 20:37,71.247
10/30/2017 20:42,67.8956
10/30/2017 23:17,69.5863
10/30/2017 23:22,59.622
10/31/2017 1:57,79.6251
10/31/2017 2:02,69.9229
10/31/2017 4:42,75.0053
10/31/2017 4:47,58.1264
10/31/2017 7:22,91.8438
10/31/2017 7:27,90.6337
10/31/2017 10:02,68.1061
10/31/2017 10:07,86.3245
10/31/2017 13:02,72.1713
10/31/2017 13:07,77.5712
10/31/2017 15:42,79.9803
10/31/2017 15:47,77.4579
10/31/2017 18:22,78.5723
10/31/2017 18:27,76.4871
10/31/2017 21:02,57.9052
10/31/2017 21:07,76.3774
10/31/2017 23:42,74.9917
10/31/2017 23:47,70.0064
11/1/2017 2:22,72.1031
11/1/2017 2:27,72.4011
11/1/2017 5:02,53.6776
11/1/2017 5:07,59.6718
11/1/2017 7:42,55.245
11/1/2017 7:47,59.7914
