SN,Average
16320.0,57.5
16383.0,155.0
16384.0,67.5
16447.0,85.0
16448.0,37.5
16511.0,52.5
16512.0,31.0
16575.0,54.0
16576.0,47.5
16639.0,82.5
16640.0,215.0
16703.0,23.5
16704.0,95.0
16767.0,57.5
16768.0,57.5
16831.0,30.0
16832.0,47.5
16895.0,27.5
16896.0,17.5
16959.0,195.0
16960.0,185.0
17023.0,65.0
17024.0,195.0
17087.0,175.0
17088.0,212.5
17151.0,37.5
17152.0,52.5
17215.0,35.0
17216.0,29.0
17279.0,27.5
17280.0,47.5
17343.0,215.0
17344.0,65.0
17407.0,29.0
17408.0,35.0
17471.0,32.5
17472.0,52.5
17535.0,42.5
17536.0,19.0
17599.0,75.0
17600.0,47.5
17663.0,80.0
17664.0,145.0
17727.0,115.0
17728.0,145.0
17791.0,47.5
17792.0,57.5
17855.0,52.5
17856.0,32.5
17919.0,32.5
17920.0,24.5
17983.0,55.0
17984.0,52.5
18047.0,47.5
18048.0,75.0
18111.0,42.5
18112.0,35.0
18175.0,37.5
18176.0,37.5
18239.0,32.5
18240.0,22.5
18303.0,47.5
18304.0,75.0
18367.0,255.0
18368.0,65.0
18431.0,47.5
18432.0,105.0
18495.0,57.5
18496.0,52.5
18559.0,37.5
18560.0,37.5
18623.0,28.0
18624.0,37.5
18687.0,75.0
18688.0,47.5
18751.0,245.0
18752.0,75.0
18815.0,135.0
18816.0,77.5
18879.0,175.0
18880.0,190.0
18943.0,23.5
18944.0,77.5
19007.0,37.5
19008.0,37.5
19071.0,22.5
19072.0,27.5
19135.0,195.0
19136.0,175.0
19199.0,125.0
19200.0,650.0
19263.0,115.0
19264.0,125.0
19327.0,190.0
19328.0,165.0
19391.0,57.5
19392.0,37.5
19455.0,29.0
19456.0,37.5
19519.0,57.5
19520.0,27.5
19583.0,57.5
19584.0,215.0
19647.0,195.0
19648.0,175.0
19711.0,65.0
19712.0,22.5
19775.0,75.0
19776.0,135.0
19839.0,57.5
19840.0,115.0
19903.0,42.5
19904.0,155.0
19967.0,32.5
19968.0,42.5
20031.0,27.5
20032.0,42.5
20095.0,47.5
20096.0,20.0
20159.0,215.0
20160.0,29.0
20223.0,45.0
20224.0,52.5
20287.0,105.0
20288.0,115.0
20351.0,125.0
20352.0,65.0
20415.0,57.5
20416.0,55.0
20479.0,57.5
20480.0,57.5
20543.0,39.0
20544.0,25.0
20607.0,29.0
20608.0,35.0
20671.0,22.5
20672.0,20.0
20735.0,45.0
20736.0,45.0
20799.0,105.0
20800.0,57.5
20863.0,65.0
20864.0,195.0
20927.0,57.5
20928.0,95.0
20991.0,57.5
20992.0,195.0
21055.0,21.0
21056.0,29.0
21119.0,19.0
21120.0,19.0
21183.0,29.0
21184.0,35.0
21247.0,39.0
21248.0,57.5
21311.0,85.0
21312.0,215.0
21375.0,47.5
21376.0,55.0
21439.0,23.0
21440.0,18.0
21503.0,47.5
21504.0,110.0
21567.0,95.0
21568.0,140.0
21631.0,85.0
21632.0,145.0
21695.0,27.5
21696.0,70.0
21759.0,27.5
21760.0,70.0
21823.0,22.5
21824.0,72.5
21887.0,22.5
21888.0,72.5
21951.0,72.5
21952.0,95.0
22015.0,155.0
22016.0,155.0
22079.0,165.0
22080.0,195.0
22143.0,42.5
22144.0,65.0
22207.0,195.0
22208.0,42.5
22271.0,57.5
22272.0,47.5
22335.0,65.0
22336.0,104.0
22399.0,62.5
22400.0,95.0
22463.0,107.5
22464.0,65.0
22527.0,107.5
22528.0,57.5
22591.0,65.0
22592.0,106.5
22655.0,55.0
22656.0,32.5
22719.0,65.0
22720.0,107.5
22783.0,67.5
22784.0,65.0
22847.0,52.5
22848.0,52.5
22911.0,75.0
22912.0,155.0
22975.0,17.5
22976.0,27.5
23039.0,115.0
23040.0,85.0
23103.0,255.0
23104.0,75.0
23167.0,255.0
23168.0,75.0
23231.0,135.0
23232.0,65.0
23295.0,77.5
23296.0,125.0
23359.0,145.0
23360.0,77.5
23423.0,145.0
23424.0,55.0
23487.0,77.5
23488.0,37.5
23551.0,37.5
23552.0,37.5
23615.0,22.5
23616.0,23.0
23679.0,29.0
23680.0,30.0
23743.0,21.0
23744.0,23.0
23807.0,20.0
23808.0,17.5
23871.0,22.5
23872.0,30.0
23935.0,47.5
23936.0,27.5
23999.0,32.5
24000.0,105.0
24063.0,15.0
24064.0,22.5
24127.0,37.5
24128.0,9.0
24191.0,75.0
24192.0,17.0
24255.0,35.0
24256.0,43.0
24319.0,42.5
24320.0,26.5
24383.0,65.0
24384.0,95.0
24447.0,47.5
24448.0,110.0
24511.0,115.0
24512.0,215.0
24575.0,32.0
24576.0,49.0
24639.0,36.0
24640.0,49.0
24703.0,42.5
24704.0,37.5
24767.0,225.0
24768.0,47.5
24831.0,42.5
24832.0,52.5
24895.0,225.0
24896.0,65.0
24959.0,115.0
24960.0,225.0
25023.0,57.5
25024.0,52.5
25087.0,46.0
25088.0,40.5
25151.0,40.0
25152.0,72.5
25215.0,72.5
25216.0,17.5
25279.0,72.5
25280.0,18.0
25343.0,39.5
25344.0,75.0
25407.0,48.5
25408.0,40.5
25471.0,36.0
25472.0,39.5
25535.0,45.5
25536.0,35.5
25599.0,45.0
25600.0,36.0
25663.0,36.5
25664.0,40.5
25727.0,225.0
25728.0,52.5
25791.0,115.0
25792.0,225.0
25855.0,110.0
25856.0,77.5
25919.0,110.0
25920.0,77.5
25983.0,110.0
25984.0,95.0
26047.0,85.0
26048.0,85.0
26111.0,21.0
26112.0,125.0
26175.0,37.5
26176.0,39.0
26239.0,450.0
26240.0,170.0
26303.0,65.0
26304.0,65.0
26367.0,57.5
26368.0,450.0
26431.0,65.0
26432.0,195.0
26495.0,42.5
26496.0,95.0
26559.0,115.0
26560.0,125.0
26623.0,55.0
26624.0,130.0
26687.0,410.0
26688.0,65.0
26751.0,85.0
26752.0,37.5
26815.0,39.0
26816.0,11.0
26879.0,35.0
26880.0,27.5
26943.0,52.5
26944.0,32.5
27007.0,25.0
27008.0,37.5
27071.0,37.5
27072.0,65.0
27135.0,125.0
27136.0,95.0
27199.0,95.0
27200.0,195.0
27263.0,85.0
27264.0,85.0
27327.0,65.0
27328.0,195.0
27391.0,125.0
27392.0,57.5
27455.0,65.0
27456.0,110.0
27519.0,55.0
27520.0,42.5
27583.0,35.0
27584.0,38.5
27647.0,32.5
27648.0,105.0
27711.0,47.5
27712.0,40.5
27775.0,190.0
27776.0,120.0
27839.0,45.0
27840.0,27.5
27903.0,42.5
27904.0,75.0
27967.0,17.0
27968.0,36.0
28031.0,225.0
28032.0,52.5
28095.0,170.0
28096.0,85.0
28159.0,32.5
28160.0,42.5
28223.0,67.5
28224.0,195.0
28287.0,32.5
28288.0,160.0
28351.0,47.5
28352.0,62.5
28415.0,32.5
28416.0,47.5
28479.0,57.5
28480.0,85.0
28543.0,85.0
28544.0,190.0
28607.0,45.0
28608.0,29.0
28671.0,32.5
28672.0,42.5
28735.0,67.5
28736.0,47.5
28799.0,42.5
28800.0,75.0
28863.0,44.5
28864.0,72.5
28927.0,115.0
28928.0,105.0
28991.0,95.0
28992.0,65.0
29055.0,65.0
29056.0,77.5
29119.0,85.0
29120.0,27.5
29183.0,450.0
29184.0,275.0
29247.0,65.0
29248.0,195.0
29311.0,85.0
29312.0,145.0
29375.0,65.0
29376.0,35.0
29439.0,42.5
29440.0,52.5
29503.0,42.5
29504.0,55.0
29567.0,37.5
29568.0,70.0
29631.0,42.5
29632.0,41.0
29695.0,70.0
29696.0,117.5
29759.0,55.0
29760.0,75.0
29823.0,32.5
29824.0,185.0
29887.0,250.0
29888.0,245.0
29951.0,145.0
29952.0,57.5
30015.0,85.0
30016.0,47.5
30079.0,16.0
30080.0,37.5
30143.0,57.5
30144.0,85.0
30207.0,27.0
30208.0,18.0
30271.0,55.0
30272.0,70.0
30335.0,57.5
30336.0,55.0
30399.0,47.5
30400.0,85.0
30463.0,75.0
30464.0,65.0
30527.0,145.0
30528.0,57.5
30591.0,29.0
30592.0,135.0
30655.0,75.0
30656.0,30.0
30719.0,85.0
30720.0,37.5
30783.0,85.0
30784.0,41.0
30847.0,65.0
30848.0,32.5
30911.0,55.0
30912.0,70.0
30975.0,37.5
30976.0,65.0
31039.0,125.0
31040.0,121.0
31103.0,32.5
31104.0,195.0
31167.0,245.0
31168.0,57.5
31231.0,145.0
31232.0,57.5
31295.0,42.5
31296.0,57.5
31359.0,32.5
31360.0,7.0
31423.0,67.5
31424.0,37.5
31487.0,75.0
31488.0,45.0
31551.0,47.5
31552.0,65.0
31615.0,27.5
31616.0,67.5
31679.0,32.5
31680.0,37.5
31743.0,23.5
31744.0,39.5
31807.0,115.0
31808.0,195.0
31871.0,65.0
31872.0,215.0
31935.0,85.0
31936.0,27.5
31999.0,75.0
32000.0,65.0
32063.0,145.0
32064.0,145.0
32127.0,32.5
32128.0,57.5
32191.0,17.0
32192.0,22.5
32255.0,16.5
32256.0,37.5
32319.0,25.0
32320.0,21.0
32383.0,85.0
32384.0,75.0
32447.0,75.0
32448.0,32.5
32511.0,105.0
32512.0,57.5
32575.0,57.5
32576.0,195.0
32639.0,57.5
32640.0,26.5
32703.0,16.5
32704.0,57.5
32767.0,29.0
32768.0,15.0
32831.0,195.0
32832.0,55.0
32895.0,47.5
32896.0,31.0
32959.0,195.0
32960.0,105.0
33023.0,52.5
33024.0,85.0
33087.0,16.0
33088.0,57.5
33151.0,13.5
33152.0,37.5
33215.0,55.0
33216.0,85.0
33279.0,85.0
33280.0,85.0
33343.0,180.0
33344.0,95.0
33407.0,32.5
33408.0,52.5
33471.0,47.5
33472.0,45.0
33535.0,22.0
33536.0,20.0
33599.0,55.0
33600.0,57.5
33663.0,65.0
33664.0,52.5
33727.0,145.0
33728.0,145.0
33791.0,37.5
33792.0,37.5
33855.0,47.5
33856.0,37.5
33919.0,29.0
33920.0,22.5
33983.0,210.0
33984.0,57.5
34047.0,57.5
34048.0,95.0
34111.0,47.5
34112.0,65.0
34175.0,32.5
34176.0,47.5
34239.0,37.5
34240.0,37.5
34303.0,28.0
34304.0,21.5
34367.0,65.0
34368.0,75.0
34431.0,205.0
34432.0,140.0
34495.0,32.5
34496.0,145.0
34559.0,65.0
34560.0,45.0
34623.0,57.5
34624.0,115.0
34687.0,26.0
34688.0,20.0
34751.0,55.0
34752.0,119.0
34815.0,22.5
34816.0,75.0
34879.0,72.5
34880.0,65.0
34943.0,65.0
34944.0,105.0
35007.0,35.0
35008.0,32.5
35071.0,13.5
35072.0,42.5
35135.0,127.5
35136.0,115.0
35199.0,95.0
35200.0,37.5
35263.0,57.5
35264.0,195.0
35327.0,32.5
35328.0,42.5
35391.0,47.5
35392.0,235.0
35455.0,19.0
35456.0,39.5
35519.0,39.0
35520.0,47.5
35583.0,75.0
35584.0,85.0
35647.0,57.5
35648.0,115.0
35711.0,47.5
35712.0,42.5
35775.0,235.0
35776.0,95.0
35839.0,27.5
35840.0,12.0
35903.0,47.5
35904.0,57.5
35967.0,65.0
35968.0,47.5
36031.0,115.0
36032.0,165.0
36095.0,42.5
36096.0,42.5
36159.0,40.0
36160.0,42.0
36223.0,15.5
36224.0,41.5
36287.0,72.5
36288.0,190.0
36351.0,350.0
36352.0,195.0
36415.0,85.0
36416.0,32.5
36479.0,37.5
36480.0,22.5
36543.0,32.5
36544.0,37.5
36607.0,195.0
36608.0,85.0
36671.0,210.0
36672.0,52.5
36735.0,115.0
36736.0,65.0
36799.0,57.5
36800.0,37.5
36863.0,43.0
36864.0,115.0
36927.0,19.0
36928.0,16.5
36991.0,45.0
36992.0,37.5
37055.0,85.0
37056.0,57.5
37119.0,115.0
37120.0,65.0
37183.0,32.5
37184.0,55.0
37247.0,22.5
37248.0,21.0
37311.0,37.5
37312.0,155.0
37375.0,19.0
37376.0,17.0
37439.0,195.0
37440.0,57.5
37503.0,75.0
37504.0,47.5
37567.0,175.0
37568.0,95.0
37631.0,85.0
37632.0,32.5
37695.0,27.5
37696.0,55.0
37759.0,21.0
37760.0,115.0
37823.0,50.0
37824.0,105.0
37887.0,95.0
37888.0,215.0
37951.0,95.0
37952.0,37.5
38015.0,27.5
38016.0,29.0
38079.0,95.0
38080.0,52.5
38143.0,34.0
38144.0,57.5
38207.0,105.0
38208.0,65.0
38271.0,34.0
38272.0,29.0
38335.0,37.5
38336.0,55.0
38399.0,15.5
38400.0,36.5
38463.0,65.0
38464.0,85.0
38527.0,195.0
38528.0,105.0
38591.0,47.5
38592.0,160.0
38655.0,47.5
38656.0,32.5
38719.0,26.0
38720.0,27.5
38783.0,115.0
38784.0,57.5
38847.0,22.5
38848.0,75.0
38911.0,105.0
38912.0,57.5
38975.0,42.5
38976.0,72.5
39039.0,42.5
39040.0,47.5
39103.0,72.5
39104.0,34.5
39167.0,16.5
39168.0,11.5
39231.0,42.5
39232.0,62.5
39295.0,55.0
39296.0,195.0
39359.0,25.0
39360.0,47.5
39423.0,32.5
39424.0,32.5
39487.0,22.5
39488.0,85.0
39551.0,215.0
39552.0,32.5
39615.0,47.5
39616.0,45.0
39679.0,195.0
39680.0,105.0
39743.0,75.0
39744.0,47.5
39807.0,31.0
39808.0,52.5
39871.0,52.5
39872.0,37.5
39935.0,17.0
39936.0,12.5
39999.0,62.5
40000.0,67.5
40063.0,19.0
40064.0,85.0
40127.0,105.0
40128.0,62.5
40191.0,42.5
40192.0,45.0
40255.0,32.5
40256.0,27.5
40319.0,65.0
40320.0,33.5
40383.0,215.0
40384.0,37.5
40447.0,195.0
40448.0,57.5
40511.0,295.0
40512.0,125.0
40575.0,42.5
40576.0,95.0
40639.0,330.0
40640.0,52.5
40703.0,29.0
40704.0,29.0
40767.0,37.5
40768.0,37.5
40831.0,37.5
40832.0,55.0
40895.0,75.0
40896.0,47.5
40959.0,95.0
40960.0,50.0
41023.0,115.0
41024.0,75.0
41087.0,95.0
41088.0,95.0
41151.0,355.0
41152.0,55.0
41215.0,42.5
41216.0,45.0
41279.0,29.0
41280.0,8.0
41343.0,16.0
41344.0,42.5
41407.0,13.5
41408.0,37.5
41471.0,9.0
41472.0,19.0
41535.0,32.5
41536.0,215.0
41599.0,195.0
41600.0,42.5
41663.0,105.0
41664.0,165.0
41727.0,42.5
41728.0,85.0
41791.0,255.0
41792.0,52.5
41855.0,37.5
41856.0,27.5
41919.0,22.5
41920.0,12.5
41983.0,22.5
41984.0,6.5
42047.0,75.0
42048.0,42.5
42111.0,55.0
42112.0,75.0
42175.0,115.0
42176.0,18.5
42239.0,62.5
42240.0,185.0
42303.0,42.5
42304.0,85.0
42367.0,130.0
42368.0,225.0
42431.0,27.5
42432.0,32.5
