date,value
01/03/2021,29344.0
01/03/2021,137933.0
01/03/2021,90236.0
01/03/2021,127950.0
01/03/2021,36657.0
01/03/2022,162472.0
01/03/2022,80694.0
01/03/2022,100785.0
01/03/2022,51215.0
01/04/2019,89280.0
01/04/2019,308646.0
01/04/2019,73983.0
01/04/2019,215977.0
01/04/2019,23089.0
01/04/2019,23792.0
01/04/2020,74.0
01/04/2020,0.0
01/04/2020,117.0
01/04/2020,0.0
01/04/2021,385488.0
01/04/2021,275243.0
01/04/2021,62067.0
01/04/2021,87577.0
01/04/2022,71460.0
01/04/2022,235156.0
01/04/2022,135441.0
01/04/2022,88426.0
01/04/2022,66347.0
01/04/2022,139395.0
01/05/2019,153539.0
01/05/2019,699836.0
01/05/2019,103951.0
01/05/2019,80269.0
01/05/2020,0.0
01/05/2020,939.0
01/05/2020,11629.0
01/05/2020,1867.0
01/05/2020,739.0
01/05/2020,657.0
01/05/2021,1678.0
01/05/2021,1501.0
01/05/2021,94599.0
01/05/2021,19899.0
01/05/2022,290114.0
01/05/2022,749348.0
01/05/2022,158722.0
01/05/2022,91441.0
01/06/2019,330589.0
01/06/2019,77342.0
01/06/2019,164162.0
01/06/2019,234785.0
01/06/2019,136750.0
01/06/2019,97476.0
01/06/2020,98644.0
01/06/2020,29215.0
01/06/2020,14232.0
01/06/2020,36779.0
01/06/2021,1645.0
01/06/2021,2895.0
01/06/2021,26054.0
01/06/2021,79438.0
01/06/2021,5542.0
01/06/2021,1630.0
01/06/2022,72322.0
01/06/2022,38757.0
01/06/2022,107587.0
01/06/2022,473498.0
01/07/2019,137880.0
01/07/2019,210391.0
01/07/2019,50637.0
01/07/2019,143080.0
01/07/2020,342138.0
01/07/2020,113819.0
01/07/2020,9596.0
01/07/2020,44913.0
01/07/2020,95372.0
01/07/2020,69681.0
01/07/2021,17038.0
01/07/2021,3515.0
01/07/2021,5713.0
01/07/2021,2109.0
01/07/2022,227534.0
01/07/2022,112539.0
01/07/2022,68916.0
01/07/2022,365046.0
01/07/2022,177251.0
01/07/2022,127618.0
01/08/2019,96133.0
01/08/2019,55525.0
01/08/2019,206169.0
01/08/2019,90300.0
01/08/2020,639769.0
01/08/2020,106969.0
01/08/2020,139408.0
01/08/2020,33518.0
01/08/2021,7028.0
01/08/2021,16958.0
01/08/2021,7996.0
01/08/2021,421.0
01/08/2021,2700.0
01/08/2021,5778.0
01/08/2022,112163.0
01/08/2022,99243.0
01/08/2022,76117.0
01/08/2022,77497.0
01/09/2019,57042.0
01/09/2019,169738.0
01/09/2019,72975.0
01/09/2019,41204.0
01/09/2019,305434.0
01/09/2019,107295.0
01/09/2020,161848.0
01/09/2020,69178.0
01/09/2020,244002.0
01/09/2020,89038.0
01/09/2021,30897.0
01/09/2021,190728.0
01/09/2021,18741.0
01/09/2021,33466.0
01/09/2022,2495479.0
