SNo,Confirmed
16897.0,2960.0
16960.0,7070.0
16961.0,19282.0
17024.0,846.0
17025.0,16.0
17088.0,8261.0
17089.0,2548.0
17152.0,5710.0
17153.0,7265.0
17216.0,300.0
17217.0,653.0
17280.0,4446.0
17281.0,1685.0
17344.0,784.0
17345.0,7033.0
17408.0,258.0
17409.0,443.0
17472.0,884.0
17473.0,95591.0
17536.0,33059.0
17537.0,12097.0
17600.0,197.0
17601.0,561.0
17664.0,359.0
17665.0,681.0
17728.0,121.0
17729.0,23.0
17792.0,2826.0
17793.0,23.0
17856.0,68128.0
17857.0,1019.0
17920.0,279.0
17921.0,787.0
17984.0,11812.0
17985.0,4561.0
18048.0,1272.0
18049.0,3665.0
18112.0,42.0
18113.0,427.0
18176.0,328.0
18177.0,928.0
18240.0,6.0
18241.0,0.0
18304.0,122.0
18305.0,1430.0
18368.0,696.0
18369.0,117.0
18432.0,174.0
18433.0,10.0
18496.0,254.0
18497.0,147.0
18560.0,412.0
18561.0,6699.0
18624.0,90.0
18625.0,122.0
18688.0,804.0
18689.0,704.0
18752.0,460.0
18753.0,213.0
18816.0,1586.0
18817.0,254.0
18880.0,0.0
18881.0,417.0
18944.0,11.0
18945.0,106.0
19008.0,19.0
19009.0,812.0
19072.0,226629.0
19073.0,523.0
19136.0,141.0
19137.0,1587.0
19200.0,0.0
19201.0,0.0
19264.0,146.0
19265.0,11.0
19328.0,695.0
19329.0,19.0
19392.0,6.0
19393.0,229422.0
19456.0,11.0
19457.0,149.0
19520.0,1389.0
19521.0,18.0
19584.0,23.0
19585.0,73235.0
19648.0,3027.0
19649.0,374.0
19712.0,1384.0
19713.0,1408.0
19776.0,139.0
19777.0,24922.0
19840.0,3410.0
19841.0,16500.0
19904.0,18.0
19905.0,64.0
19968.0,203591.0
19969.0,1238.0
20032.0,882.0
20033.0,6630.0
20096.0,187.0
20097.0,33193.0
20160.0,28.0
20161.0,5.0
20224.0,3040.0
20225.0,7667.0
20288.0,34863.0
20289.0,10118.0
20352.0,17.0
20353.0,16.0
20416.0,27700.0
20417.0,16.0
20480.0,3025.0
20481.0,304372.0
20544.0,30.0
20545.0,25.0
20608.0,257.0
20609.0,82.0
20672.0,13105.0
20673.0,25351.0
20736.0,2145.0
20737.0,6.0
20800.0,5008.0
20801.0,5248.0
20864.0,11.0
20865.0,185.0
20928.0,582.0
20929.0,164967.0
20992.0,2483.0
20993.0,19103.0
21056.0,8364.0
21057.0,3372.0
21120.0,539.0
21121.0,43207.0
21184.0,17738.0
21185.0,15003.0
21248.0,112.0
21249.0,135.0
21312.0,40571.0
21313.0,1487.0
21376.0,124.0
21377.0,34.0
21440.0,29340.0
21441.0,45.0
21504.0,1.0
21505.0,12.0
21568.0,8235.0
21569.0,31881.0
21632.0,95.0
21633.0,40.0
21696.0,14730.0
21697.0,657.0
21760.0,325.0
21761.0,653.0
21824.0,6757.0
21825.0,2668.0
21888.0,1685.0
21889.0,878.0
21952.0,573.0
21953.0,612.0
22016.0,128.0
22017.0,116.0
22080.0,68128.0
22081.0,1019.0
22144.0,308.0
22145.0,788.0
22208.0,23048.0
22209.0,8959.0
22272.0,82.0
22273.0,1416.0
22336.0,30060.0
22337.0,45.0
22400.0,147.0
22401.0,168.0
22464.0,0.0
22465.0,425.0
22528.0,176.0
22529.0,15.0
22592.0,6567.0
22593.0,895.0
22656.0,10822.0
22657.0,74.0
22720.0,13.0
22721.0,103.0
22784.0,55956.0
22785.0,27.0
22848.0,2266.0
22849.0,2070.0
22912.0,490.0
22913.0,15575.0
22976.0,11.0
22977.0,257.0
23040.0,39199.0
23041.0,141.0
23104.0,5.0
23105.0,1008.0
23168.0,13770.0
23169.0,84.0
23232.0,13645.0
23233.0,106220.0
23296.0,17.0
23297.0,0.0
23360.0,16.0
23361.0,6277.0
23424.0,333122.0
23425.0,261.0
23488.0,25.0
23489.0,6034.0
23552.0,104.0
23553.0,146.0
23616.0,27581.0
23617.0,22520.0
23680.0,7.0
23681.0,68231.0
23744.0,6120.0
23745.0,120.0
23808.0,185.0
23809.0,1268.0
23872.0,172576.0
23873.0,4700.0
23936.0,32081.0
23937.0,8616.0
24000.0,4043.0
24001.0,101.0
24064.0,47552.0
24065.0,11799.0
24128.0,17122.0
24129.0,1366.0
24192.0,261.0
24193.0,18.0
24256.0,1497.0
24257.0,25.0
24320.0,36.0
24321.0,10566.0
24384.0,45.0
24385.0,1477.0
24448.0,12.0
24449.0,0.0
24512.0,30486.0
24513.0,10431.0
